"Captions","Sentiment","Timestamp","User names","Language","Hashtags","Resharess","Likes","Country","Year","Month","Day","Hour","Fatigue","Concentration","Sleep disturbance","Sucidal Ideation","Low energy","Hopelessness","Depression state"
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. "," Dismissive ","8/18/2018"," IndifferentFort ","1"," #Dismissive #IndifferencePerformance ","12","24"," Australia ","2018","8","18","14","3","2","3","2","3","3","Minimal Depression"
"Tears, the ink staining the pages of a journal, a testament to silent grief. "," Grief ","1/28/2023"," InkJournalist ","1"," #Grief #SilentTears ","30","60"," India ","2023","1","28","14","4","3","4","3","4","4","Moderate Depression"
"Attended a jazz concert and swayed to the rhythm of timeless tunes. Music, a constant companion in the golden years. #JazzConcert #SeniorMusic "," Joy ","6/29/2023"," JazzMusicLover ","1"," #TimelessTunes #SeniorJazz ","25","50"," USA","2023","6","29","16","1","1","1","1","1","1","No Depresseion"
" A surprise visit from an old friend brought tears of joy. "," Surprise     ","2/25/2023"," JoyfulReunion   ","1"," #Surprise #OldFriends                       ","25","50"," USA          ","2023","2","25","14","1","1","1","1","1","1","No Depresseion"
" Elation after a surprise reunion with old friends.    "," Elation       ","4/2/2020"," JoyfulReunion2  ","1"," #Elation #OldFriends                          ","25","50"," Canada      ","2020","4","2","9","1","1","1","1","1","1","No Depression"
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. "," Playful ","11/18/2019"," JugglingArtist ","1"," #Playful #JugglingResponsibilities ","25","50"," USA ","2019","11","18","15","1","1","1","1","1","1","No Depresseion"
"Drenched in confetti at a Katy Perry concert, a kaleidoscope of colors igniting the night sky. "," Colorful ","6/22/2020"," KatyPerryColorExplosion ","1"," #Colorful #KatyPerry ","22","45"," USA ","2020","6","22","22","1","1","1","1","1","1","No Depresseion"
"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. "," Joy ","4/2/2021"," KeukenhofAdventurer ","1"," #Joy #SpringtimeColors ","35","70"," Netherlands ","2021","4","2","18","1","1","1","1","1","1","No Depresseion"
" Compassion shown through acts of kindness in the community."," Compassion","1/15/2019"," KindnessInAction","1"," #Compassion #CommunityKindness               ","18","35"," Australia ","2019","1","15","14","1","1","1","1","1","1","No Depression"
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. "," Curiosity ","11/29/2020"," KnowledgeSeeker ","1"," #Curiosity #LabyrinthOfQuestions ","17","34"," USA ","2020","11","29","14","2","2","2","2","2","2","Minimal Depression"
" Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. "," Bitterness ","4/5/2020"," LingeringTaste ","1"," #Bitterness #BitterAftertaste ","10","20"," India ","2020","4","5","16","3","3","3","3","3","3","Moderate Depression"
"Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. "," Sad ","9/18/2023"," LonelySaturdayHighSchool ","1"," #LonelyNights #HighSchoolEmotions ","16","31"," Canada","2023","9","18","22","4","4","4","4","4","4","Severel Depression Depression"
"Despair clouds the mind, feeling adrift in an endless sea of darkness. "," Despair   ","5/15/2016"," LostInDarkness  ","1"," #Despair #EndlessDarkness               ","28","55"," Australia        ","2016","5","15","22","4","4","4","4","4","5","Moderate Depression"
"Drowning in sorrow as memories of lost love resurface.            "," Heartbreak    ","8/5/2019"," LostInLove      ","1"," #Heartbreak #LostLove                    ","15","30"," USA             ","2019","8","5","21","3","3","4","2","3","3","Minimal Depression"
"In the void of heartache, echoes of a love song play, each note a pang of longing. "," Heartache ","7/10/2022"," LoveSongEcho ","1"," #Heartache #LoveSongLonging ","30","60"," Japan ","2022","7","10","22","4","4","4","4","4","4","Severel Depression Depression"
"Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? "," Embarrassed ","8/27/2023"," MagicFailHighSchool ","1"," #MagicFail #HighSchoolMagic ","22","45"," UK","2023","8","27","20","2","1","2","1","2","1","Minimal Depression"
"Witnessing a record-breaking marathon, spectators are filled with awe and admiration for the endurance and dedication of the runners. "," Admiration ","11/7/2021"," MarathonSpectatorRecordBreaking ","1"," #Admiration #MarathonRecords ","22","45"," Kenya ","2021","11","7","17","1","1","1","1","1","1","No Depresseion"
"Marveling at the kaleidoscope of colors in a vibrant street market. "," Marvel       ","8/22/2015"," MarketExplorer ","1"," #Marvel #ColorfulStreetMarket          ","22","45"," Brazil          ","2015","8","22","15","1","1","1","1","1","1","Minimal Depression"
"Swaying to the reggae vibes of Bob Marley's tribute concert, each chord a journey to Jamaica's soul. "," Journey ","3/5/2020"," MarleyReggaeTraveler ","1"," #Journey #BobMarleyTribute ","30","60"," Jamaica ","2020","3","5","18","1","1","1","1","1","1","No Depresseion"
"Lost in the maze of curiosity, each twist and turn unveils the treasures of discovery. "," Curiosity ","9/22/2018"," MazeDiscovery ","1"," #Curiosity #TreasuresOfDiscovery ","22","45"," India ","2018","9","22","12","1","1","1","1","1","1","No Depresseion"
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. "," Betrayal ","1/5/2021"," MazeWanderer ","1"," #Betrayal #ClosingWalls ","15","30"," Germany ","2021","1","5","16","3","4","3","2","4","4","Moderate Depression"
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. "," Zest ","3/30/2023"," MeadowSprinter ","1"," #Zest #FieldsOfEnthusiasm ","16","32"," India ","2023","3","30","16","1","1","1","1","1","1","No Depresseion"
"Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions "," Surprise ","5/24/2023"," MemeCreator ","1"," #StudyingMemes #TeenLife ","25","50"," Canada","2023","5","24","13","1","2","1","1","1","1","No Depresseion"
"Exploring the universe within during a mindful meditation session. "," InnerJourney  ","10/20/2017"," MindfulExplorer ","1"," #InnerJourney #MeditationBliss          ","35","70"," Canada           ","2017","10","20","8","1","1","1","1","1","1","Minimal Depression"
"Missing an important event due to unforeseen circumstances. A day filled with sadness. "," Sad ","9/21/2023"," MissedOpportunityHighSchool ","1"," #MissedChances #HighSchoolRegret ","20","39"," Canada","2023","9","21","16","4","4","4","4","4","4","Severel Depression Depression"
"At a Michael Jackson tribute show, moonwalking through the hits, a celebration of the King of Pop. "," Celebration ","1/15/2022"," MJTributeDancer ","1"," #Celebration #MJTribute ","25","50"," USA ","2022","1","15","21","1","1","1","1","1","1","No Depresseion"
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. "," Serenity        ","5/12/2020"," MoonlitSoul       ","1"," #Serenity #MoonlitPeace                  ","25","50"," USA          ","2020","5","12","19","1","1","1","1","1","1","No Depresseion"
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. "," Acceptance      ","7/20/2021"," MosaicDreamer     ","1"," #Acceptance #BeautifulChaos              ","18","36"," Australia     ","2021","7","20","16","2","2","2","1","2","2","Minimal Depression"
" Overwhelmed by grief, missing a loved one dearly.  "," Grief           ","7/5/2022"," MourningHeart     ","1"," #Grief #Loss                                   ","8","15"," Canada          ","2022","7","5","15","3","3","3","2","3","3","Minimal Depression"
"Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems "," Boredom ","5/21/2023"," MovieBuff ","1"," #SnackCrisis #TeenLife ","18","35"," Canada","2023","5","21","21","2","2","2","2","2","2","Minimal Depression"
" The new movie release is a must-watch!             "," Positive  ","1/22/2023"," MovieBuff    ","1"," #MovieNight #MustWatch                  ","15","30"," USA    ","2023","1","16","19","1","1","1","1","1","1","No Depresssion"
" Anticipating the release of a much-awaited movie.       "," Anticipation ","2/26/2023"," MovieBuff2      ","1"," #Anticipation #MovieRelease                 ","20","40"," Australia    ","2023","2","26","7","1","1","1","1","1","1","No Depresseion"
" Boredom settles like dust, life feels mundane.     "," Boredom         ","11/28/2016"," MundaneHeart     ","1"," #Boredom #Monotony                          ","7","15"," Canada        ","2016","11","28","19","3","3","3","2","3","3","Minimal Depression"
"Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! "," Happy ","10/22/2023"," MuralCreationHighSchool ","1"," #ArtCollaboration #HighSchoolCreativity ","22","43"," UK","2023","10","22","20","1","2","1","1","1","1","No Depression"
"Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney "," Frustration ","6/2/2023"," MusicalExplorer ","1"," #InstrumentLearning #TeenMusic ","28","55"," UK","2023","6","2","14","2","2","2","2","2","2","Minimal Depression"
"Harmony resonates as musicians play a melody of unity and togetherness. "," Harmony    ","11/30/2019"," MusicHarmonist  ","1"," #Harmony #MusicalUnity                   ","35","70"," Sweden          ","2019","11","30","19","1","1","1","1","1","1","No Depresseion"
"Harmony resonates as musicians play a symphony of unity.           "," Harmony       ","11/30/2019"," MusicHarmonist  ","1"," #Harmony #MusicalUnity                   ","35","70"," Sweden          ","2019","11","30","19","1","1","1","1","1","1","Minimal Depression"
" Attending a live music concert tonight.            "," Positive  ","2/20/2023"," MusicLover   ","1"," #Music #ConcertNight                  ","18","35"," USA ","2023","1","27","20","1","1","1","1","1","1","No Depression"
"Awe-struck by the breathtaking sunrise over the mountains.      "," Awe           ","4/3/2022"," NatureAdmirer  ","1"," #Awe #BreathtakingSunrise                   ","28","55"," USA               ","2022","4","3","6","1","1","1","1","1","1","No Depresseion"
" Reverence for the wonders of nature on a hiking trail."," Reverence ","5/11/2020"," NatureAdmirer   ","1"," #Reverence #NatureExploration                ","18","35"," USA        ","2020","5","11","15","1","1","1","1","1","1","No Depression"
"In the serene beauty of a sunset, nature unfolds a canvas of colors, evoking a sense of tranquility and wonder. "," Tranquility ","7/10/2021"," NatureEnthusiastSunsetWonder ","1"," #Tranquility #SunsetBeauty ","40","80"," Canada ","2021","7","10","19","1","1","1","1","1","1","No Depresseion"
" Overflowing happiness: welcoming a new family member!  "," Happiness    ","2/22/2023"," NewParentJoy    ","1"," #Happiness #NewFamilyMember                 ","30","60"," UK           ","2023","2","22","10","1","1","1","1","1","1","No Depression"
"Mesmerized by the cosmic dance of fireflies on a moonlit night.    "," Enchantment   ","8/10/2022"," NightSkyObserver ","1"," #Enchantment #CosmicFireflies             ","25","50"," Brazil           ","2022","8","10","22","1","1","1","1","1","1","Minimal Depression"
"Captivated by the ethereal beauty of a field filled with fireflies. "," Enchantment   ","8/10/2022"," NightSkyObserver ","1"," #Enchantment #FireflyField              ","25","50"," Brazil           ","2022","8","10","22","1","1","1","1","1","1","No Depression"
"Cruising the fjords of Norway, each icy landscape a breathtaking masterpiece of nature's grandeur. "," Grandeur ","5/28/2018"," NorwayFjordExplorer ","1"," #Grandeur #IcyMasterpiece ","22","45"," Norway ","2018","5","28","18","1","1","1","1","1","1","No Depresseion"
"Relishing a peaceful afternoon with a classic novel. Quiet moments are the best moments. #BookLover #PeacefulAfternoon "," Contentment ","6/11/2023"," NovelEnthusiast ","1"," #QuietMoments #BookishEscape ","35","70"," USA","2023","6","11","15","1","1","1","1","1","1","No Depresseion"
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. "," Serenity        ","4/12/2020"," OceanSoul         ","1"," #Serenity #OceanRetreat                   ","25","50"," Canada        ","2020","4","12","19","1","1","1","1","1","1","Minimal Depression"
" Helplessness engulfs me, drowning in a sea of problems."," Helplessness ","5/8/2019"," OverwhelmedSoul  ","1"," #Helplessness #Struggling                   ","8","15"," Australia    ","2019","5","8","14","4","4","4","4","4","4","Severel Depression Depression"
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist "," Embarrassed ","8/7/2023"," PaintSpillHighSchool ","1"," #ArtisticMishaps #HighSchoolArt ","22","45"," UK","2023","8","7","19","2","2","2","2","2","2","Minimal Depression"
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. "," Bitterness ","10/22/2019"," PalateStainer ","1"," #Bitterness #StainedTrust ","15","30"," Germany ","2019","10","22","17","3","3","3","3","3","3","Moderate Depression"
"Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! "," Joy ","8/21/2023"," PaperPlaneExpertHighSchool ","1"," #PaperPlaneExpert #HighSchoolArt ","15","30"," USA","2023","8","21","15","1","1","1","1","1","1","No Depression"
" Pride in achieving a personal milestone.               "," Pride        ","2/19/2023"," PersonalAchiever","1"," #Pride #Milestone                           ","30","60"," Australia    ","2023","2","19","16","3","3","4","2","3","3","Moderate Depression"
" Just adopted a cute furry friend! ðŸ¾              "," Positive  ","1/31/2023"," PetAdopter   ","1"," #PetAdoption #FurryFriend               ","15","30"," Canada    ","2023","1","19","17","1","1","1","1","1","1","No Depression"
" Amused by the antics of my petâ€”it's pure amusement!      "," Amusement    ","2/23/2023"," PetAmuser       ","1"," #Amusement #PetAntics                       ","18","35"," UK           ","2023","2","23","14","1","1","1","1","1","1","No Depression"
"Started a photography club at school. Capturing moments, one snapshot at a time! "," Joy ","8/4/2023"," PhotoClubHighSchool ","1"," #PhotographyClub #HighSchoolPhotographer ","22","45"," USA","2023","8","4","16","1","1","1","1","1","1","No Depression"
"Capturing the essence of a bustling market, the photographer freezes moments in time, each frame telling a unique and vibrant story. "," Vibrancy ","3/22/2019"," PhotographyEnthusiastMarketMoments ","1"," #Vibrancy #MarketStories ","22","45"," Australia ","2019","3","22","21","1","1","1","1","1","1","No Depression"
"Exploring a new hobby of photography during free time. Capturing moments through a lens. "," Neutral ","10/10/2023"," PhotographyHobbyHighSchool ","1"," #PhotographyJourney #HighSchoolHobbies ","25","49"," UK","2023","10","10","14","1","1","1","1","1","1","No Depresseion"
"Capturing the beauty of nature through photography. Every snapshot is a treasure. #NaturePhotography #SeniorPhotographer "," Joy ","6/17/2023"," PhotographySenior ","1"," #NatureCapture #SeniorMoments ","35","70"," USA","2023","6","17","15","1","1","1","1","1","1","No Depresseion"
"Survived a challenging physics exam. Equations, you won't defeat me! "," Relief ","8/1/2023"," PhysicsWhizHighSchool ","1"," #PhysicsSurvivor #HighSchoolAdventures ","20","40"," USA","2023","8","1","13","1","1","1","1","1","1","No Depresseion"
" Productive day ticking off my to-do list.          "," Positive  ","2/6/2023"," ProductivityPro","1"," #Productivity #WorkFromHome           ","30","60"," USA ","2023","1","21","16","1","1","1","1","1","1","No Depression"
" Feeling accomplished after a productive day.       "," Positive  ","2/26/2023"," ProductivityWin","1"," #Accomplished #Success               ","22","45"," India ","2023","1","29","17","1","1","1","1","1","1","No Depression"
" Enthusiastically diving into a new project.            "," Enthusiasm    ","6/15/2018"," ProjectEnthusiast","1"," #Enthusiasm #NewProject                       ","15","30"," USA  ","2018","6","15","16","1","1","1","1","1","1","No Depression"
" Pure happiness: celebrating a loved one's achievement! "," Happiness    ","2/13/2023"," ProudFriend     ","1"," #Happiness #Celebration                   ","30","60"," USA ","2023","2","13","10","1","1","1","1","1","1","No Depression"
"Confidence soars after overcoming public speaking anxiety.       "," Confidence    ","4/2/2020"," PublicSpeaker   ","1"," #Confidence #OvercomingAnxiety          ","15","30"," USA               ","2020","4","2","17","1","1","1","1","1","1","Minimal Depression"
" Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. "," Frustrated ","12/17/2020"," PuzzleComposer ","1"," #Frustrated #UnsolvablePuzzle ","12","24"," India ","2020","12","17","9","3","3","3","3","3","3","Moderate Depression"
"Euphoria floods in as the final puzzle piece clicks into place.       "," Euphoria   ","6/8/2022"," PuzzleSolver    ","1"," #Euphoria #PuzzleCompletion            ","20","40"," Denmark         ","2022","6","8","15","1","1","1","1","1","1","No Depresseion"
"Euphoria floods in as the final puzzle piece fits perfectly.       "," Euphoria     ","6/8/2022"," PuzzleSolver    ","1"," #Euphoria #PerfectPuzzle               ","20","40"," Denmark         ","2022","6","8","15","1","1","1","1","1","1","Minimal Depression"
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. "," Nostalgia ","12/2/2018"," QueenTributeFan ","1"," #Nostalgia #QueenTribute ","22","45"," UK ","2018","12","2","22","2","1","2","1","2","2","Minimal Depression"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. "," Compassionate ","7/1/2021"," RainNurturer ","1"," #Compassionate #TearsOfEmpathy ","21","42"," Canada ","2021","7","1","12","1","1","1","1","1","1","No Depresseion"
"Swept away by the river of regret, the currents of the past refusing to release. "," Regret ","4/28/2017"," RegretRiver ","1"," #Regret #PastCurrents ","18","35"," UK ","2017","4","28","16","3","4","3","3","4","4","Moderate Depression"
"Avoiding the thorns of regret, walking barefoot on the path of remorse. "," Regret ","4/18/2022"," RemorseWalker ","1"," #Regret #PathOfRemorse ","25","50"," Canada ","2022","4","18","11","3","4","3","3","4","4","Moderate Depression"
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. "," Contentment ","4/27/2019"," RiverNavigator ","1"," #Contentment #TranquilWaters ","20","40"," Canada ","2019","4","27","9","1","1","1","1","1","1","No Depresseion"
"Sinking like autumn leaves in the river of sorrow, carried away by the current. "," Sorrow ","9/15/2020"," RiverOfSorrow ","1"," #Sorrow #AutumnLeaves ","22","45"," Canada ","2020","9","15","18","4","4","4","4","4","4","Severel Depression Depression"
" Weekend road trip to explore scenic views.         "," Positive  ","2/14/2023"," RoadTripper  ","1"," #RoadTrip #ScenicViews                  ","18","35"," UK        ","2023","1","24","17","1","1","1","1","1","1","No Deprssion"
" Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. "," Devastated ","10/28/2022"," RuinedHeart ","1"," #Devastated #EchoesOfShatteredDreams ","25","50"," Australia ","2022","10","28","11","4","4","4","4","4","4","Severel Depression Depression"
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. "," Confident ","2/15/2022"," SandStrider ","1"," #Confident #FootprintsOfAssuredness ","25","50"," Australia ","2022","2","15","13","1","1","1","1","1","1","No Depresseion"
"Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! "," Excitement ","8/24/2023"," ScavengerHuntMasterHighSchool ","1"," #SurpriseAdventure #HighSchoolFun ","20","38"," UK","2023","8","24","18","1","1","1","1","1","1","No Depression"
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. "," Curiosity       ","5/8/2022"," SeekerOfUnknowns  ","1"," #Curiosity #SeekerOfKnowledge            ","22","45"," UK            ","2022","5","8","8","1","2","1","1","1","1","Minimal Depression"
" Jealousy gnaws at my confidence, a toxic emotion.  "," Jealousy        ","6/3/2018"," SelfDoubt        ","1"," #Jealousy #Insecurity                       ","8","15"," India         ","2018","6","3","16","2","2","2","1","2","2","Minimal Depression"
"Started a book club for seniors, where discussions are as lively as the characters in the novels. #BookClub #SeniorReaders "," Joy ","7/7/2023"," SeniorBookClub ","1"," #BookishTalks #SeniorBookworms ","22","45"," UK","2023","7","7","19","1","1","1","1","1","1","No Depresseion"
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker "," Excitement ","7/10/2023"," SeniorHikerExplorer ","1"," #NatureTrailBlazer #SeniorExplorer ","28","55"," UK","2023","7","10","14","1","1","1","1","1","1","No Depression"
"Hosted a 'memory lane' evening with old friends, reminiscing about the adventures that shaped our lives. #MemoryLane #SeniorReminiscing "," Gratitude ","7/16/2023"," SeniorMemoriesHost ","1"," #FriendshipAdventures #SeniorNostalgia ","30","60"," USA","2023","7","16","14","1","1","1","1","1","1","No Depresseion"
"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover "," Joy ","7/13/2023"," SeniorWineConnoisseur ","1"," #AgedToPerfection #SeniorCheers ","35","70"," UK","2023","7","13","20","1","1","1","1","1","1","No Depresseion"
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. "," Despair ","9/15/2021"," ShatteredHeart ","1"," #Despair #EchoingSilence ","8","16"," Canada ","2021","9","15","16","5","5","5","5","5","5","Severel Depression Depression"
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. "," Indifference    ","3/10/2023"," SilentSpectator   ","1"," #Indifference #SilentObserver            ","9","18"," India         ","2023","3","10","16","2","2","2","1","2","2","Minimal Depression"
" Empowerment through learning a new skill.            "," Empowerment   ","7/10/2014"," SkillEmpower    ","1"," #Empowerment #SkillBuilding                   ","25","50"," India   ","2014","7","10","13","1","1","1","1","1","1","No Depresseion"
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. "," Free-spirited ","8/15/2021"," SkyPainter ","1"," #FreeSpirit #PaintingTheSky ","20","40"," India ","2021","8","15","11","1","1","1","1","1","1","No Depresseion"
"Trying out a new smoothie recipe for a healthy start to the week. Smoothie enthusiast: Level up! "," Excitement ","9/10/2023"," SmoothieConnoisseurHighSchool ","1"," #HealthyLiving #HighSchoolWellness ","23","42"," UK","2023","9","10","20","1","1","1","1","1","1","No Depresseion"
"Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill! "," Mischievous ","8/16/2023"," SnackSmugglerHighSchool ","1"," #SnackSmuggler #HighSchoolSnacks ","30","60"," USA","2023","8","16","14","1","1","1","1","1","1","No Depresseion"
"Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! "," Embarrassed ","8/19/2023"," SocialMediaBlunderHighSchool ","1"," #SocialMediaBlunder #HighSchoolAwkward ","22","45"," UK","2023","8","19","19","2","1","2","1","2","1","Minimal Depression"
"Heartache deepens, a solitary journey through the abyss of despair. "," Despair   ","8/18/2022"," SolitaryDescent ","1"," #Despair #AbyssOfHeartache             ","40","80"," South Africa ","2022","8","18","22","4","4","4","4","4","5","Severel Depression Depression"
" Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. "," Loneliness ","12/1/2017"," SolitaryMoon ","1"," #Loneliness #StarlessSky ","18","36"," USA ","2017","12","1","18","4","4","4","4","4","4","Severel Depression Depression"
"Embarked on a solo travel adventure, discovering the beauty of new places at my own pace. #SoloTravel #SeniorExplorer "," Excitement ","7/1/2023"," SoloAdventurer ","1"," #DiscoverNewPlaces #SeniorTravel ","30","60"," USA","2023","7","1","14","1","1","1","1","1","1","No Depresseion"
" The victory of our team brought euphoria to the city. "," Euphoria      ","8/10/2021"," SportsFanatic   ","1"," #Euphoria #Victory                             ","15","30"," USA      ","2021","8","10","21","1","1","1","1","1","1","No Depression"
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. "," Numbness        ","12/28/2019"," StoicSoul         ","1"," #Numbness #StoicFacade                    ","8","15"," Australia     ","2019","12","28","14","3","2","2","2","3","3","Moderate depression"
"Emotional storm, a whirlwind of sadness engulfs every thought.    "," EmotionalStorm ","7/18/2017"," StormyFeelings  ","1"," #EmotionalStorm #SadnessWhirlwind      ","30","60"," India          ","2017","7","18","17","4","4","4","3","4","4","Moderate Depression"
"Trying out a new study technique for upcoming exams. Exploring different learning strategies. "," Neutral ","10/2/2023"," StudyTechniqueExperimentHighSchool ","1"," #StudyStrategies #HighSchoolExams ","23","42"," USA","2023","10","2","16","2","2","1","1","2","1","No Depression"
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. "," Grateful ","4/1/2022"," SunsetAdmirer ","1"," #Grateful #GoldenHues ","19","38"," Australia ","2022","4","1","18","1","1","1","1","1","1","No Depresseion"
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. "," Melancholy      ","6/18/2019"," SunsetDreamer     ","1"," #Melancholy #SunsetMoments                 ","12","25"," Australia     ","2019","6","18","20","3","3","3","2","3","3","Moderate Depression"
"Inspiration strikes while observing the colors of a vibrant sunset."," Inspiration   ","6/10/2020"," SunsetWatcher   ","1"," #Inspiration #ColorfulSunset             ","30","60"," UK                ","2020","6","10","20","1","1","1","1","1","1","Minimal Depression"
" Serenity found in the beauty of a sunset by the sea.  "," Serenity      ","7/22/2011"," SunsetWatcher2  ","1"," #Serenity #SunsetViews                       ","22","45"," Canada     ","2011","7","22","18","1","1","1","1","1","1","No Depresseion"
"Dancing on sunshine, each step a celebration of the joy found in simple moments. "," Joy ","8/20/2021"," SunshineDancer ","1"," #Joy #SimpleMoments ","40","80"," USA ","2021","8","20","15","1","1","1","1","1","1","No Depresseion"
"Despite meticulous training, the swimmer faces disappointment as a split-second miscalculation costs them the lead in a crucial race. "," Miscalculation ","6/28/2015"," SwimmingEnthusiastRaceSetback ","1"," #Miscalculation #SwimmingDisappointment ","28","55"," Australia ","2015","6","28","20","3","4","3","2","4","3","Moderate Depression"
"Having a string of bad luck with constant technology malfunctions. Tech troubles galore! "," Bad ","9/30/2023"," TechMalfunctionWoesHighSchool ","1"," #TechIssues #HighSchoolTech ","22","43"," Canada","2023","9","30","18","3","3","2","1","3","2","Minimal Depression"
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. "," Frustration ","7/10/2018"," TennisEnthusiastUnexpectedSetback ","1"," #Frustration #TennisSetback ","35","70"," USA ","2018","7","10","21","3","3","3","3","3","3","Moderate Depression"
" Overflowing with gratitude for life's blessings.      "," Gratitude     ","11/25/2012"," ThankfulHeart   ","1"," #Gratitude #Blessed                            ","30","60"," Australia   ","2012","11","25","10","1","1","1","1","1","1","No depression"
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. "," Empathetic ","4/3/2018"," ThreadWeaver ","1"," #Empathetic #TapestryOfUnderstanding ","15","30"," UK ","2018","4","3","14","1","1","1","1","1","1","No Depresseion"
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. "," Ambivalence     ","1/5/2022"," ThreadWeaver      ","1"," #Ambivalence #ConflictingFeelings        ","12","25"," UK            ","2022","1","5","10","3","3","3","2","3","3","Moderate Depression"
" Feeling a sense of fear after watching a thriller movie. "," Fear         ","2/11/2023"," ThrillerFan     ","1"," #Fear #ThrillerMovie                         ","15","30"," USA          ","2023","2","11","21","2","2","3","1","2","2","Minimal Depression"
" Frustration escalates, a thunderstorm of emotions. "," Frustration     ","4/5/2022"," ThunderingMind   ","1"," #Frustration #EmotionalOutburst            ","12","25"," UK            ","2022","4","5","14","3","3","3","2","3","3","Moderate Depression"
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. "," Excitement ","7/20/2022"," TimesSquareExplorer ","1"," #Excitement #UrbanEnergy ","35","70"," USA ","2022","7","20","21","1","1","1","1","1","1","No Depression"
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. "," Numbness ","11/30/2021"," TurbulentShield ","1"," #Numbness #EmotionalStorms ","10","20"," Canada ","2021","11","30","15","4","4","4","4","4","4","Severel Depression Depression"
"At a U2 concert, the anthemic chords of 'With or Without You' create a timeless moment of connection. "," Connection ","5/15/2016"," U2ConnectionSeeker ","1"," #Connection #U2Anthem ","25","50"," Ireland ","2016","5","15","19","1","1","1","1","1","1","No Depresseion"
"Excitement builds as the countdown to a long-awaited vacation begins. "," Excitement ","1/10/2023"," VacationDreamer ","1"," #Excitement #VacationCountdown        ","30","60"," France            ","2023","1","10","12","1","1","1","1","1","1","Minimal Depression"
"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. "," Romance ","4/18/2019"," VeniceRomantic ","1"," #Romance #TimelessCity ","20","40"," Italy ","2019","4","18","16","1","1","1","1","1","1","No Depresseion"
"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. "," Betrayal ","3/2/2021"," VenomousGarden ","1"," #Betrayal #PoisonedTrust ","25","50"," Canada ","2021","3","2","17","3","4","3","3","4","4","Moderate Depression"
