caption,mental_state,language
हर दिन एक नई चुनौती है।,Severely Depressed,Hindi
Resentment building up over past betrayals.        ,Happy,English
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,Happy,English
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Happy,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
नींद का कोई ठिकाना नहीं।,Happy,Hindi
Excited about the upcoModerate Depressionld Depressionng gaModerate Depressionld Depressionng tournament.      ,Stressed,English
प्यार और खुशी फैलाओ।,Happy,Hindi
Overflowing happiness: welcoModerate Depressionld Depressionng a new faModerate Depressionld Depressionly member!  ,Happy,English
"हर गहरी सांस में उसकी खुशबू का एहसास है, जैसे रूह से भी ज्यादा करीब हो कोई।",Stressed,Hindi
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Normal,English
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems ,Stressed,English
Sunday bike ride through scenic trails.           ,Moderately Depressed,English
"सुकून वो है, जब दिल और दिमाग दोनों खुश हों। ✨ #शांति",Moderately Depressed,Hindi
"बस इतनी देर हो जाए, कि किसी को मेरे इंतज़ार की आदत न रहे।",Normal,Hindi
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
Whimsical delight in a world of fairy tales and magical creatures.  ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Euphoria floods in as the final puzzle piece fits perfectly.       ,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Stressed,English
जिंदगी का मजा लो।,Happy,Hindi
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Moderately Depressed,English
Whimsical delight in a world of fairy tales and magical creatures.  ,Happy,English
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Moderately Depressed,English
"इस अक्स में छुपी है वो सारी बातें, जो सिर्फ मैं जानती हूँ।",Moderately Depressed,Hindi
Pride in achieving a personal Moderate Depressionld Depressionlestone.               ,Happy,English
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",Stressed,English
Elation after a surprise reunion with old friends.    ,Severely Depressed,English
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Stressed,English
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Moderately Depressed,English
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",Moderately Depressed,English
"चांदनी के आँचल में छुपे, अनकहे लफ़्ज़ मेरे साथ!",Happy,Hindi
नई ऊंचाइयों को छुओ।,Stressed,Hindi
बच्चों जैसी मासूमियत और सपनों की परियों सी दुनिया!,Normal,Hindi
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Happy,English
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",Severely Depressed,English
"हर अधूरी कहानी के पीछे एक अधूरा ख्वाब है, जिसे पूरा करने का हुनर उसकी आंखों ने सिखाया है।",Happy,Hindi
"Swept away by the river of regret, the currents of the past refusing to release. ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
जो मुक़ाम कम लोगों के नसीब होगा उसमें मेरा नाम ज़रूर शामिल होगा,Moderately Depressed,Hindi
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Happy,English
"C’est la saison des fleurs, profitons-en!",Stressed,English
"As the credits roll, a profound sense of Nostalgia washes over, reModerate Depressionld Depressionniscent of cherished moments in classic films. ",Severely Depressed,English
"C’est la saison des fleurs, profitons-en!",Normal,English
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,Happy,English
Productive day ticking off my to-do list.          ,Moderately Depressed,English
मुझे आज कुछ भी करने का मन नहीं।,Happy,Hindi
Sending affectionate vibes to all my followers!          ,Stressed,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Stressed,English
जी भरकर जीने का दिल करता है,Stressed,Hindi
Just adopted a cute furry friend! ???              ,Happy,English
Curiosity awakened by the mysteries of an ancient archaeological site. ,Moderately Depressed,English
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",Happy,English
Winter blues got me feeling low.                   ,Happy,English
तस्वीरें यादें बन जाती हैं। 📸 #यादें,Moderately Depressed,Hindi
ज़िंदगी कभी आसान नहीं होती। 😕 #संघर्ष,Happy,Hindi
"इश्क़ उसकी वो पहली मुस्कान है, जिसे एक बार देख कर दिल पूरी उम्र उसी के नाम हो गया।",Stressed,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
Excitement builds as the countdown to a long-awaited vacation begins. ,Severely Depressed,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Moderately Depressed,English
Just adopted a cute furry friend! ???              ,Stressed,English
"Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Happy,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Normal,English
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Happy,English
Anticipating a thrilling adventure in the coModerate Depressionld Depressionng weeks. ,Happy,English
"चाय और बारिश, इससे बेहतर कुछ नहीं। ☕ #प्यारा_पल",Normal,Hindi
Experimenting with a new hair color. A bold change for a bold semester! ,Moderately Depressed,English
Experimenting with a new hair color. A bold change for a bold semester! ,Normal,English
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Moderately Depressed,English
"Frustration escalates, a thunderstorm of emotions. ",Happy,English
"Heartache deepens, a solitary journey through the abyss of despair. ",Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
Hoy me siento lleno de energía y motivación.,Happy,English
"Swept away by the river of regret, the currents of the past refusing to release. ",Happy,English
ख्वाबों की दुनिया में खो जाने का मजा ही कुछ और है। ✨ #सपने,Happy,Hindi
Contentment envelops as the aroma of freshly baked bread fills the air. ,Normal,English
Pride in achieving a personal Moderate Depressionld Depressionlestone.               ,Stressed,English
जी भरकर जीने का दिल करता है,Happy,Hindi
अपने आपको समय दो।,Happy,Hindi
"ये प्रेम ऐसा कि जैसे सूरज की पहली किरण, जो हर दिन दिल को एक नई सुबह सा एहसास देती है।",Happy,Hindi
"Anxiety grips my heart, worry clouds my thoughts.  ",Stressed,English
Confusion surrounds me as I navigate through life's choices. ,Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Happy,English
दुनिया की भीड़ में खुद को खोने नहीं दूंगा!,Stressed,Hindi
"C’est la saison des fleurs, profitons-en!",Normal,English
"सपनों की परवाज़ में ऊंचाई मायने नहीं रखती, उड़ान मायने रखती है।",Happy,Hindi
"As the movie credits roll, the viewer experiences a Moderate Depressionld Depressionx of awe and contemplation, pondering the deeper meanings woven into the storyline. ",Stressed,English
"दिल के शहर में जैसे एक महकती बगिया हो, जिसकी खुशबू से हर खामोश गली रौशन रहती है।",Happy,Hindi
Winter blues got me feeling low.                   ,Stressed,English
हर सुबह खुद को नया पाने की आदत सी हो गई है।,Normal,Hindi
Enthusiastically diving into a new project.            ,Happy,English
Excitement builds as the countdown to a long-awaited vacation begins. ,Normal,English
"अपने ही अक्स में उलझी हूँ, या शायद खुद को ढूंढ रही हूँ।",Normal,Hindi
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
"खुद को यूँ देखना, जैसे पहली बार मिल रही हूँ।",Severely Depressed,Hindi
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Happy,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
"कपड़ों का फैशन बदलता रहता है, पर साड़ी का रुतबा हमेशा कायम है।",Moderately Depressed,Hindi
Enthusiasm for a new artistic project in the works.  ,Stressed,English
अपनी गलतियों से सीखें।,Stressed,Hindi
The victory of our team brought euphoria to the city. ,Stressed,English
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",Normal,English
Elation over discovering a rare book in a quaint bookstore.      ,Happy,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"हर जवाब सवाल नहीं मांगता, कुछ बातें बिना कहे भी ख़ास होती हैं।",Moderately Depressed,Hindi
नई ऊंचाइयों को छुओ।,Moderately Depressed,Hindi
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Severely Depressed,English
Ich liebe die Natur und ihre Schönheit.,Severely Depressed,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Marveling at the kaleidoscope of colors in a vibrant street market. ,Moderately Depressed,English
खुद पर गर्व करो।,Happy,Hindi
बारिश की बूंदों के साथ यादें भी ताजा हो जाती हैं। ☔ #यादें,Normal,Hindi
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Severely Depressed,English
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Stressed,English
Surprise and delight at discovering a hidden gem in the city.    ,Happy,English
"Embraced by the hopeful dawn, a gardener sowing seeds of optiModerate Depressionld Depressionsm, tending to the blooms of a brighter tomorrow. ",Severely Depressed,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Severely Depressed,English
Quiet evening with a good book.                    ,Stressed,English
"Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Stressed,English
Elation after achieving a fitness Moderate Depressionld Depressionlestone.         ,Happy,English
"इश्क़ उसकी वो पहली मुस्कान है, जिसे एक बार देख कर दिल पूरी उम्र उसी के नाम हो गया।",Happy,Hindi
Just published a new blog post. Check it out!      ,Happy,English
The victory of our team brought euphoria to the city. ,Happy,English
"जितनी बार खुद को देखती हूँ, हर बार थोड़ा और अपनापन लगता है।",Happy,Hindi
New book release from my favorite author!          ,Happy,English
An amusing incident brightened up my day!               ,Moderately Depressed,English
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reModerate Depressionld Depressionnder of wounds that refuse to heal with the passing of time. ",Happy,English
"La vida es un viaje, disfruta cada momento.",Happy,English
अपने हिस्से का आसमान खुद ही चुन लो।,Stressed,Hindi
"कुछ दर्द बॉटे जाते है, कुछ... पाले जाते है।",Stressed,Hindi
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",Severely Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Severely Depressed,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
अकेलेपन की भी अपनी कहानी है। #खामोशी,Normal,Hindi
Elation after achieving a fitness Moderate Depressionld Depressionlestone.         ,Severely Depressed,English
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Moderately Depressed,English
Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney ,Moderately Depressed,English
खुद पर भरोसा रखो और आगे बढ़ते रहो 🌟 #प्रेरणा #सपने,Moderately Depressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Stressed,English
हंसना भूल गया।,Normal,Hindi
अकेले ही जीना है।,Happy,Hindi
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Feeling a sense of fear after watching a thriller movie. ,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
Hoy me siento lleno de energía y motivación.,Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"तूफ़ानों में तैरना मेरा शौक नहीं, मेरी पहचान है।",Severely Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
अंधेरा छटने वाला है।,Happy,Hindi
Confusion reigns as I try to make sense of recent events.,Moderately Depressed,English
Elation after achieving a fitness Moderate Depressionld Depressionlestone.         ,Happy,English
Just adopted a cute furry friend! ???              ,Stressed,English
"हर दुआ की तासीर में जैसे उसकी परछाई हो, ख्वाहिशें भी उसे पा लेने का हुनर सीख रही हैं।",Severely Depressed,Hindi
सपनों का पीछा करो।,Moderately Depressed,Hindi
"हर दुआ की तासीर में जैसे उसकी परछाई हो, ख्वाहिशें भी उसे पा लेने का हुनर सीख रही हैं।",Happy,Hindi
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Happy,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Severely Depressed,English
Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,Severely Depressed,English
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Moderately Depressed,English
प्रेम वो नहीं है जो हमें पढ़ाया गया है।,Moderately Depressed,Hindi
प्रकृति का सौंदर्य अमूल्य है।,Happy,Hindi
Amar a vida é um presente maravilhoso.,Severely Depressed,English
Bittersweet emotions arise while bidding farewell to a dear friend. ,Stressed,English
Winter blues got me feeling low.                   ,Happy,English
तुमको देखा तो ये ख़याल आया ज़िंदगी धूप तुम घना साया,Happy,Hindi
"Helplessness engulfs me, drowning in a sea of problems.",Severely Depressed,English
Amar a vida é um presente maravilhoso.,Stressed,English
Disgust at the corruption that stains society.     ,Moderately Depressed,English
Feeling a sense of fear after watching a thriller movie. ,Happy,English
Harmony resonates as musicians play a symphony of unity.           ,Happy,English
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Happy,English
Gratitude for the supportive community around me.    ,Stressed,English
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered kNowledge. ",Happy,English
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Stressed,English
A surprise gift from a friend made my day!              ,Moderately Depressed,English
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",Stressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Moderately Depressed,English
Enthusiastically diving into a new project.            ,Happy,English
Reverence for the wonders of nature on a hiking trail.,Stressed,English
प्रकृति का सौंदर्य अमूल्य है।,Happy,Hindi
"C’est la saison des fleurs, profitons-en!",Happy,English
"सड़कें लंबी हैं, सफर अभी बाकी है। #यात्रा #अनुभव",Stressed,Hindi
The euphoria of a surprise birthday celebration.     ,Stressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",Moderately Depressed,English
"The echoes of solitude, a silent conversation between a soul and its shadows. ",Happy,English
ज़िंदगी में खुश रहना ही असली जीत है।,Stressed,Hindi
Confusion clouds my Moderate Depressionld Depressionnd as I navigate through decisions.,Stressed,English
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Stressed,English
"मिलता कुछ तो बात है इन हवाओं में, वरना साथ इन्हें पंछियों का ना",Happy,Hindi
Harmony resonates as musicians play a symphony of unity.           ,Normal,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Severely Depressed,English
दूसरों से कभी तुलना मत करो।,Severely Depressed,Hindi
Amar a vida é um presente maravilhoso.,Stressed,English
विफलता सफलता की पहली सीढ़ी है।,Stressed,Hindi
ଆମେ ଯେତେବେଳେ ନିଜର ମାନସିକ ସ୍ଥିତି ଦୂର କରିପାରିବା।,Normal,Hindi
Confusion surrounds me as I navigate through life's choices. ,Happy,English
"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers ",Moderately Depressed,English
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
खुद पर गर्व करो।,Normal,Hindi
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ",Happy,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
Confusion clouds my Moderate Depressionld Depressionnd as I navigate through decisions.,Happy,English
जागने का मन नहीं करता।,Severely Depressed,Hindi
"बदलती ज़िन्दगी के रंग, हर लम्हा जैसे एक नया कैनवास।",Moderately Depressed,Hindi
"C’est la saison des fleurs, profitons-en!",Normal,English
Awe-inspired by the vastness of the cosmos on a stargazing night.   ,Stressed,English
Productive day ticking off my to-do list.          ,Happy,English
"कुछ दर्द बॉटे जाते है, कुछ... पाले जाते है।",Severely Depressed,Hindi
Sunday bike ride through scenic trails.           ,Happy,English
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Happy,English
Cooking a special dinner for loved ones.           ,Stressed,English
साहस की जरूरत है।,Stressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"The echoes of solitude, a silent conversation between a soul and its shadows. ",Severely Depressed,English
सादगी ही असली खूबसूरती है। ✨ #सादगी,Stressed,Hindi
"C’est la saison des fleurs, profitons-en!",Stressed,English
दुनिया की भीड़ में खुद को खोने नहीं दूंगा!,Happy,Hindi
जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।,Moderately Depressed,Hindi
आइने में वो भी दिखता है जो कई बार हम खुद से भी छुपाते हैं।,Moderately Depressed,Hindi
Excited about the upcoModerate Depressionld Depressionng gaModerate Depressionld Depressionng tournament.      ,Happy,English
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",Normal,English
Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney ,Normal,English
हंसना भूल गया।,Stressed,Hindi
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Happy,English
"जो मेरे करीब है, वो मेरे लिए अनमोल है।",Stressed,Hindi
"सपनों का पीछा करो, वो खुद चल कर आएंगे।",Stressed,Hindi
"वो ख़्वाब है जो आँखों में सजे रहते हैं, पर कभी टूटते नहीं, बस गहराते चले जाते हैं।",Happy,Hindi
"जैसे कॉफी में झाग, वैसे मेरी मुस्कुराहट में थोड़ा सा प्यार।",Happy,Hindi
Enthusiastically diving into a new project.            ,Severely Depressed,English
The victory of our team brought euphoria to the city. ,Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Inspiration strikes while observing the colors of a vibrant sunset.,Happy,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Happy,English
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems ,Severely Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
Pure happiness: celebrating a loved one's achievement! ,Happy,English
तस्वीरें यादें बन जाती हैं। 📸 #यादें,Happy,Hindi
Contentment envelops as the aroma of freshly baked bread fills the air. ,Moderately Depressed,English
"The echoes of solitude, a silent conversation between a soul and its shadows. ",Happy,English
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuModerate Depressionld Depressionnated by the sun of optiModerate Depressionld Depressionsm. ",Stressed,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Moderately Depressed,English
"Started a photography club at school. Capturing moments, one snapshot at a time! ",Moderately Depressed,English
"दुआ करो में कोई रास्ता निकाल सकूँ,, तुम्हे भी देख सकूँ, खुद को भी सम्भाल सकूँ।",Stressed,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
"Frustrated fingers tapping on the keyboard, a symphony of anNoyance composing an unsolvable puzzle of unmet expectations. ",Happy,English
"Frustrated fingers tapping on the keyboard, a symphony of anNoyance composing an unsolvable puzzle of unmet expectations. ",Happy,English
"C’est la saison des fleurs, profitons-en!",Stressed,English
जीवन एक पहेली है।,Stressed,Hindi
କେତେବେଳେ ଆମେ ସମସ୍ୟା ସମାଧାନ ମାଗୁଛୁ।,Moderately Depressed,Hindi
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",Happy,English
आज बादलों की छांव में सुकून मिला। ☁️ #मौसम,Normal,Hindi
"Swept away by the river of regret, the currents of the past refusing to release. ",Happy,English
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Sad,English
जीतने की कोशिश में लगे रहो।,Happy,Hindi
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ",Stressed,English
Amar a vida é um presente maravilhoso.,Normal,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",Normal,English
Euphoria floods in as the final puzzle piece fits perfectly.       ,Normal,English
Hoy me siento lleno de energía y motivación.,Happy,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Happy,English
"सांसों को ना दो ज़िन्दगी का नाम, ज़िंदा होते हुए भी मर जाते हैं कुछ लोग।",Happy,Hindi
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
अकेले ही जीना है।,Happy,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ",Moderately Depressed,English
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Stressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Happy,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"जब सवाल खुद से हो, तो जवाब आईने में छुपा होता है।",Stressed,Hindi
Joyful reunion with long-lost friends after years of separation.   ,Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ",Moderately Depressed,English
दुनिया से ऊब गया।,Moderately Depressed,Hindi
"सड़कें लंबी हैं, सफर अभी बाकी है। #यात्रा #अनुभव",Severely Depressed,Hindi
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Normal,English
ସମସ୍ତ ସମୟରେ ସହଯୋଗ ଏବଂ ସମର୍ଥନ ଆବଶ୍ୟକ।,Moderately Depressed,Hindi
ସେମାନଙ୍କୁ ସହଯୋଗ ଓ ନିୟମିତ ଶିକ୍ଷା ପ୍ରଦାନ କରିବା ଆବଶ୍ୟକ।,Moderately Depressed,Hindi
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Happy,English
Marveling at the kaleidoscope of colors in a vibrant street market. ,Severely Depressed,English
"Apprehensive whispers in the wind, a forecast of uncertainty, the Moderate Depressionld Depressionnd's weather vane spinning wildly in the storm of doubt. ",Moderately Depressed,English
Reverence for the wonders of nature on a hiking trail.,Happy,English
Hoy me siento lleno de energía y motivación.,Happy,English
Amused by the antics of my pet??t's pure amusement!      ,Sad,English
चुपचाप मुस्कुराने की भी एक अलग ही कहानी होती है।,Stressed,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Moderately Depressed,English
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,Normal,English
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Moderately Depressed,English
Whimsical delight in a world of fairy tales and magical creatures.  ,Stressed,English
कोई साथ नहीं देता।,Normal,Hindi
Surprise and delight at discovering a hidden gem in the city.    ,Happy,English
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",Moderately Depressed,English
कभी-कभी छोटी बातें भी दिल को खुश कर देती हैं।,Stressed,Hindi
Sunday bike ride through scenic trails.           ,Moderately Depressed,English
"खामोशियों की गूंज में जैसे कोई पुकार है, हर सन्नाटे में एक उसकी धड़कन महसूस होती है।",Stressed,Hindi
Mesmerized by the cosModerate Depressionld Depressionc dance of fireflies on a moonlit night.    ,Happy,English
Winter blues got me feeling low.                   ,Happy,English
Quiet evening with a good book.                    ,Happy,English
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Moderately Depressed,English
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,Normal,English
"जैसे चाय की प्याली में मिठास, वैसे ही मेरी दुनिया में तेरा साथ।",Moderately Depressed,Hindi
Amar a vida é um presente maravilhoso.,Stressed,English
An amusing incident brightened up my day!               ,Happy,English
उसका ख्याल भी ऐसे दिल को सुकून देता है जैसे प्यासे को रेगिस्तान में बरसात की बूंद।,Happy,Hindi
Hoy me siento lleno de energía y motivación.,Normal,English
"आसान नहीं है सपनों का पीछा करना, पर किसे आसान रास्ते चाहिए?",Stressed,Hindi
Mesmerized by the cosModerate Depressionld Depressionc dance of fireflies on a moonlit night.    ,Moderately Depressed,English
"Embraced by the hopeful dawn, a gardener sowing seeds of optiModerate Depressionld Depressionsm, tending to the blooms of a brighter tomorrow. ",Stressed,English
New book release from my favorite author!          ,Severely Depressed,English
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,Normal,English
Empowerment through learning and personal growth.      ,Happy,English
Enthusiastically diving into a new project.            ,Happy,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Stressed,English
Disgust at the corruption that stains society.     ,Severely Depressed,English
"जैसे कॉफी में झाग, वैसे मेरी मुस्कुराहट में थोड़ा सा प्यार।",Happy,Hindi
Hoy me siento lleno de energía y motivación.,Happy,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Stressed,English
जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।,Severely Depressed,Hindi
"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers ",Stressed,English
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",Moderately Depressed,English
Feeling accomplished after a productive day.       ,Stressed,English
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! ,Happy,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Normal,English
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems ,Happy,English
Amar a vida é um presente maravilhoso.,Sad,English
छोटी-छोटी खुशियाँ ही असली खज़ाना हैं।,Severely Depressed,Hindi
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Stressed,English
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",Happy,English
Reverence for the wonders of nature on a hiking trail.,Normal,English
କେତେବେଳେ ଆମେ ସମସ୍ୟା ସମାଧାନ ମାଗୁଛୁ।,Moderately Depressed,Hindi
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Severely Depressed,English
अकेलेपन से घबराता हूं।,Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Stressed,English
"मिलता कुछ तो बात है इन हवाओं में, वरना साथ इन्हें पंछियों का ना",Normal,Hindi
फासलों से हौसला ये टूटता नहीं,Happy,Hindi
"C’est la saison des fleurs, profitons-en!",Normal,English
"तुम्हे मुस्कुराता देख, हम मुस्कुराने लग गए !...",Stressed,Hindi
शहर की हलचल और जिंदगी की रफ्तार। 🚦 #शहरी_जीवन,Severely Depressed,Hindi
